"cut","depth","table","price","x","y","z"
"Ideal",60.8,57,906,4.56,4.52,2.76
"Very Good",63.3,56,1181,5.09,5.05,3.21
"Very Good",58.9,63,485,4.05,4.07,2.39
"Ideal",62.1,55,666,4.43,4.46,2.76
"Ideal",62.3,54,641,4.3,4.27,2.67
"Premium",60.4,58,4699,6.68,6.66,4.03
"Ideal",61.6,55,489,4.34,4.36,2.68
"Fair",65.3,55,2762,5.63,5.58,3.66
"Premium",59.5,58,746,4.67,4.71,2.79
"Premium",61.7,59,4740,6.56,6.6,4.06
"Good",63.5,58,1404,4.69,4.7,2.98
"Ideal",62.2,56,12295,7.48,7.53,4.67
"Ideal",62.5,57,6814,6.81,6.73,4.23
"Premium",61.8,60,593,4.35,4.32,2.68
"Very Good",58.8,57,5491,6.67,6.76,3.95
"Very Good",62.4,58,6449,6.31,6.38,3.96
"Very Good",63.8,56,1142,4.68,4.72,3
"Ideal",61.9,55,1549,5.15,5.18,3.2
"Very Good",59.5,57,1144,5.4,5.43,3.22
"Ideal",61.6,56,2970,5.94,5.91,3.64
"Ideal",62.5,59,5719,6.88,6.95,4.32
"Ideal",62.3,57,2723,5.65,5.68,3.53
"Premium",62,58,3642,5.67,5.72,3.53
"Ideal",62.3,56,3170,5.79,5.76,3.6
"Very Good",62.2,59,10329,6.56,6.69,4.12
"Ideal",62.4,55,545,4.32,4.34,2.7
"Very Good",62.3,58,784,4.8,4.83,3
"Very Good",62.9,58,1550,5.05,5.09,3.19
"Premium",62.6,59,792,4.74,4.75,2.97
"Ideal",61.2,56,876,4.64,4.67,2.85
"Very Good",63.1,60,3791,6.79,6.74,4.27
"Ideal",62.3,54,914,4.37,4.39,2.73
"Ideal",62.5,56,4413,6.4,6.44,4.01
"Very Good",59.3,62,3270,5.74,5.77,3.41
"Ideal",60.7,57,1046,4.4,4.37,2.66
"Very Good",60.5,55,702,4.43,4.49,2.7
"Very Good",63.4,60,8257,7.65,7.61,4.84
"Very Good",61.4,58,521,4.44,4.49,2.74
"Ideal",62,57,1055,4.82,4.79,2.98
"Premium",60.1,58,6387,7.43,7.34,4.44
"Premium",62,59,4523,6.54,6.5,4.04
"Premium",61.5,60,558,4.04,4.02,2.48
"Very Good",62.9,57,526,4.25,4.3,2.69
"Ideal",60.4,57,14199,7.43,7.41,4.48
"Premium",61.6,59,773,4.83,4.85,2.98
"Very Good",62.1,54,755,4.81,4.84,2.99
"Premium",61.6,56,4892,6.59,6.52,4.04
"Very Good",61.2,60,447,4.28,4.31,2.63
"Ideal",62.2,56,2169,5.35,5.39,3.34
"Ideal",61.8,55,662,4.76,4.79,2.95
"Very Good",62.5,62,4175,6.39,6.45,4.01
"Very Good",62,61,17024,8.04,8.1,5
"Very Good",63.8,57,11654,7.17,7.21,4.59
"Ideal",61.8,58,1609,5.24,5.28,3.25
"Ideal",61.9,57,3648,5.83,5.86,3.62
"Good",62.2,61,3639,6.41,6.48,4.01
"Premium",62.6,59,4475,6.43,6.47,4.04
"Ideal",61.7,56,5914,6.53,6.59,4.05
"Good",59.3,62,4397,6.51,6.58,3.88
"Ideal",62.1,56,5839,6.59,6.56,4.08
"Ideal",61.9,56,1216,4.79,4.81,2.97
"Very Good",62.8,56,3265,5.64,5.66,3.55
"Ideal",62.1,56,798,4.47,4.51,2.79
"Premium",61.6,58,404,3.93,3.89,2.41
"Ideal",61.4,55,18462,8.34,8.27,5.1
"Ideal",61.4,56,990,4.97,4.99,3.06
"Ideal",62.3,56,5887,6.43,6.32,3.97
"Ideal",61.7,56,675,4.35,4.31,2.67
"Premium",62,58,7130,6.56,6.51,4.05
"Ideal",61.4,57,705,4.78,4.8,2.94
"Ideal",62,55,10038,6.98,7.02,4.34
"Ideal",61.9,57,2799,5.91,5.86,3.64
"Good",63.6,58,3881,6.11,6.09,3.88
"Ideal",61.8,55,874,4.68,4.71,2.9
"Very Good",62.8,59,4711,6.21,6.25,3.91
"Premium",58.7,58,1720,5.32,5.28,3.11
"Ideal",62.1,56,545,4.28,4.32,2.67
"Very Good",61.3,58,2001,5.84,5.91,3.6
"Premium",62.1,58,698,4.33,4.3,2.68
"Ideal",61.7,55,3249,5.79,5.82,3.58
"Ideal",62.3,54,1353,5.19,5.21,3.24
"Ideal",61.4,57.1,1392,5.36,5.38,3.3
"Premium",62.7,59,2839,5.7,5.62,3.55
"Fair",64.9,52,6210,6.24,6.33,4.08
"Ideal",62.4,59,3035,5.71,5.74,3.57
"Ideal",62.1,54,1608,5.13,5.15,3.19
"Very Good",61.5,62,871,4.6,4.63,2.84
"Very Good",59.1,59,613,4.45,4.48,2.64
"Very Good",59.6,59,18236,8.27,8.35,4.95
"Premium",61.8,58,8381,6.88,6.84,4.24
"Premium",61.7,57,4133,6.23,6.21,3.84
"Ideal",62.2,56,1689,5.11,5.15,3.19
"Ideal",61.9,55,1431,4.79,4.78,2.96
"Premium",62.9,60,1016,4.8,4.77,3.01
"Premium",61.8,59,2291,5.85,5.83,3.61
"Premium",60.2,59,18784,8.28,8.33,5
"Very Good",63.5,57,1013,4.27,4.24,2.7
"Ideal",62.5,57,2088,5.7,5.73,3.57
"Ideal",62.5,55,625,4.34,4.37,2.72
"Ideal",61.8,55,1787,5.15,5.18,3.19
"Very Good",60.9,56,2481,5.49,5.51,3.35
"Very Good",61.4,58,5616,6.22,6.29,3.84
"Very Good",61.7,58,4466,6.18,6.26,3.84
"Good",63.9,56,1080,4.68,4.64,2.98
"Ideal",60.1,58,9123,7.03,6.97,4.21
"Ideal",62.9,57,2142,5.35,5.31,3.35
"Premium",62.7,58,3423,6.14,6.17,3.86
"Good",63.3,57,602,4.34,4.38,2.76
"Ideal",62.9,57,3638,6.55,6.52,4.11
"Ideal",61,57,1399,5.3,5.34,3.24
"Ideal",61.8,55,1851,5.34,5.38,3.31
"Premium",62.3,59,506,4.29,4.25,2.66
"Ideal",61.6,56,766,4.34,4.38,2.69
"Very Good",61,63,4477,6.91,6.85,4.2
"Very Good",60.4,60,16459,8.14,8.19,4.93
"Ideal",60.8,55,1837,5.34,5.36,3.25
"Very Good",62.5,56,1020,5.05,5.09,3.17
"Ideal",62.4,57,7840,6.9,6.83,4.29
"Ideal",59.6,60,9040,6.56,6.52,3.9
"Good",63.6,56,1220,5.08,5.11,3.24
"Ideal",61.4,57,743,4.49,4.44,2.74
"Ideal",60.7,57,8192,6.74,6.81,4.11
"Premium",59.8,58,14482,7.55,7.52,4.47
"Ideal",62,58,7423,6.86,6.89,4.26
"Very Good",59.8,59,15053,8.12,8.17,4.87
"Premium",61,59,900,4.45,4.44,2.71
"Ideal",62,55,2360,5.31,5.3,3.29
"Very Good",61.2,55,772,4.75,4.8,2.92
"Ideal",61.4,59,15275,7.4,7.42,4.55
"Good",62.9,61,2591,5.6,5.63,3.53
"Very Good",59.3,61,8257,8.25,8.3,4.91
"Good",64.2,61,2846,6.25,6.18,3.99
"Very Good",61.2,55,505,3.97,4.01,2.44
"Premium",59.3,61,8408,8.3,8.25,4.91
"Ideal",61.3,56,1377,5.22,5.29,3.22
"Premium",61.9,59,849,4.86,4.9,3.02
"Ideal",61.5,55,8779,7.53,7.55,4.64
"Ideal",62.7,54,6349,6.37,6.42,4.01
"Very Good",59.5,61,584,4.64,4.67,2.77
"Ideal",62.3,56,6477,7.38,7.34,4.59
"Very Good",62.8,57,6127,6.71,6.77,4.23
"Very Good",62.1,57,3705,5.74,5.76,3.57
"Premium",59.7,58,2392,5.56,5.53,3.31
"Premium",62.9,60,5208,6.8,6.74,4.26
"Ideal",61.6,53,1654,5.13,5.09,3.15
"Very Good",61.7,57,2319,5.78,5.85,3.59
"Ideal",61.8,56,2210,5.76,5.8,3.57
"Very Good",61.1,55,446,4.35,4.39,2.67
"Premium",60.2,59,1323,4.76,4.74,2.86
"Premium",61.8,59,4008,6.41,6.31,3.93
"Very Good",63.4,60,3068,5.63,5.66,3.58
"Good",62.4,61,15287,8.29,8.35,5.19
"Ideal",60.4,55,5278,6.54,6.48,3.93
"Very Good",62.5,56,737,4.8,4.83,3.01
"Ideal",60.9,56,18128,7.85,7.88,4.79
"Ideal",62.3,55,6648,6.45,6.48,4.03
"Premium",60.2,60,10039,7.58,7.61,4.57
"Ideal",60.7,57,2274,5.29,5.26,3.2
"Good",63.7,57,5943,6.24,6.31,4
"Ideal",61.4,57,765,4.51,4.48,2.76
"Fair",65.9,60,4276,6.32,6.18,4.12
"Very Good",63.1,57,11703,7.36,7.31,4.63
"Premium",62.4,60,6468,6.38,6.35,3.97
"Fair",65.7,57,2131,5.56,5.64,3.68
"Very Good",63,56,1993,5.62,5.65,3.55
"Very Good",59.4,61,1701,5.23,5.24,3.11
"Premium",60,62,574,4.55,4.51,2.72
"Premium",62.2,60,7602,6.39,6.43,3.99
"Very Good",61.9,58,575,4.1,4.14,2.55
"Ideal",60.6,56,933,4.86,4.88,2.95
"Ideal",61.2,54,1996,5.3,5.32,3.25
"Premium",61.3,59,8870,7.49,7.52,4.6
"Good",64.5,61,3895,6.24,6.31,4.05
"Ideal",61.7,57,3431,5.7,5.75,3.53
"Good",59.1,64,3500,6.36,6.27,3.73
"Ideal",63,55,6471,6.55,6.5,4.11
"Ideal",61.9,54,1867,5.2,5.23,3.23
"Ideal",61.5,54,1008,5.13,5.15,3.16
"Very Good",60.8,60,4496,6.44,6.49,3.93
"Ideal",62.1,53,364,3.93,3.96,2.45
"Very Good",63.4,53,4187,6.1,6.17,3.89
"Good",58.7,64,2057,5.73,5.79,3.38
"Ideal",61.8,58,6389,6.87,6.91,4.26
"Premium",62.3,59,1003,4.81,4.91,3.03
"Ideal",61,54,709,4.35,4.34,2.65
"Ideal",61.7,56,901,4.34,4.38,2.69
"Good",63.3,57,10428,7.32,7.33,4.64
"Ideal",61,56,2951,5.84,5.79,3.55
"Very Good",62.2,56,625,4.32,4.36,2.7
"Very Good",63,56,891,4.61,4.63,2.91
"Ideal",60.8,56,789,4.35,4.37,2.65
"Good",57.2,62,2782,5.81,5.77,3.31
"Premium",61.8,56,6653,6.82,6.75,4.19
"Premium",61.3,59,4634,7.06,6.93,4.29
"Ideal",62,57,1698,5.33,5.29,3.29
"Good",63.4,55,2816,5.61,5.69,3.58
"Ideal",61.1,57,499,4.3,4.34,2.64
"Ideal",61.7,56,4047,5.77,5.81,3.57
"Good",59.8,63,1645,5.12,5.15,3.07
"Ideal",62.3,53.3,894,4.63,4.66,2.9
"Very Good",59.6,57,596,4.52,4.61,2.72
"Ideal",61.8,55.4,1620,5.13,5.17,3.18
"Premium",63,57,924,4.7,4.66,2.95
"Ideal",60.3,57,5231,6.51,6.53,3.93
"Ideal",61.5,60,5655,6.85,6.8,4.2
"Ideal",61.8,54,2671,5.68,5.71,3.52
"Ideal",61.4,56,606,4.6,4.65,2.84
"Very Good",62.8,54,12359,7.26,7.36,4.59
"Very Good",60,63,900,4.8,4.76,2.87
"Premium",62,59,1031,5.1,5.03,3.14
"Good",63.5,56,6250,6.84,6.77,4.32
"Ideal",61.3,56,6610,6.48,6.54,3.99
"Premium",62.5,62,15223,10.02,9.94,6.24
"Ideal",61.6,56,6239,6.43,6.46,3.97
"Very Good",63,57,3112,5.63,5.7,3.57
"Very Good",59.3,57,2084,5.25,5.31,3.13
"Ideal",61.4,56,1963,5.14,5.15,3.16
"Ideal",61.9,55,2201,5.4,5.42,3.35
"Premium",62.2,58,941,4.63,4.57,2.86
"Premium",61.1,61,2215,5.74,5.69,3.49
"Ideal",61.8,53,583,4.18,4.2,2.59
"Ideal",62.5,55,4497,6.4,6.39,4
"Premium",61.2,59,936,4.44,4.39,2.7
"Fair",66.5,56,6796,7.93,7.8,5.23
"Premium",61.8,58,1654,5.1,5.06,3.14
"Ideal",61.6,57,8509,6.87,6.92,4.25
"Premium",62.2,55,2131,5.53,5.5,3.43
"Ideal",61.4,55,552,4.29,4.34,2.65
"Fair",66.7,59,1324,5.86,5.78,3.88
"Premium",60.5,59,3813,6,6.03,3.64
"Ideal",61.9,56,493,3.94,3.96,2.44
"Premium",62.7,58,7101,6.44,6.35,4.01
"Ideal",62.5,56,11133,7.37,7.33,4.57
"Ideal",62.6,57,1619,5.11,5.08,3.19
"Very Good",60,57.1,1154,4.99,5.03,3
"Very Good",62.6,63,491,4.6,4.5,2.85
"Very Good",61.6,59,5815,6.42,6.47,3.97
"Ideal",62.5,56,945,4.83,4.8,3.01
"Very Good",59.8,59,9428,7.45,7.47,4.46
"Ideal",62.4,56,802,4.38,4.34,2.72
"Very Good",59.5,59,9139,6.54,6.58,3.9
"Premium",63,58,675,4.28,4.23,2.68
"Very Good",62.3,56,544,4.37,4.4,2.73
"Fair",52.2,65,1895,6.04,5.99,3.14
"Good",58.2,58,10819,7.49,7.56,4.38
"Ideal",62.1,56,10896,7.69,7.77,4.8
"Ideal",62.9,56,3420,5.99,5.91,3.74
"Premium",61.7,59,11062,7.63,7.57,4.69
"Very Good",61.2,61,9034,7.53,7.6,4.63
"Ideal",62.5,57,2757,5.7,5.72,3.57
"Ideal",61.3,57,2867,5.96,5.91,3.64
"Ideal",62.2,53,765,4.51,4.46,2.79
"Ideal",61.5,57,605,4.31,4.34,2.66
"Premium",62.6,58,11508,7.5,7.45,4.68
"Premium",59.9,60,435,4.41,4.44,2.65
"Ideal",60.4,56,2026,5.36,5.33,3.23
"Ideal",61.9,55,699,4.44,4.49,2.77
"Ideal",62.1,55,1142,4.79,4.81,2.98
"Ideal",61.9,56,6124,7.1,7.08,4.39
"Premium",59.5,61,1662,5.78,5.68,3.41
"Very Good",59.6,59,5662,6.56,6.59,3.92
"Premium",60.8,61,7190,7.6,7.49,4.59
"Premium",60,59,867,4.86,4.98,2.95
"Very Good",63.2,57,6787,6.38,6.35,4.02
"Ideal",62.4,57,698,4.34,4.31,2.7
"Good",61.4,65,5601,6.53,6.47,3.99
"Ideal",62.2,54.3,853,4.66,4.69,2.91
"Fair",67.8,60,2381,5.5,5.39,3.69
"Good",63.4,59,15081,6.26,6.39,4.01
"Premium",60,61,898,4.89,4.85,2.92
"Very Good",58.8,59,1340,5.38,5.4,3.17
"Very Good",63.1,57,3235,5.87,5.92,3.72
"Good",63.8,59,2353,5.51,5.55,3.53
"Very Good",61.8,56,3407,6.19,6.24,3.84
"Very Good",60.5,60,5227,6.41,6.44,3.89
"Ideal",60.5,57,1080,4.79,4.76,2.89
"Ideal",61.5,56,1223,4.85,4.87,2.99
"Ideal",60.8,56,1007,4.76,4.79,2.92
"Ideal",62.4,57,844,4.26,4.24,2.65
"Ideal",62.5,57,4044,6.43,6.38,4
"Ideal",62.3,55,466,4.39,4.41,2.74
"Ideal",61.9,57,1095,4.69,4.71,2.91
"Ideal",62.4,57,14375,7.91,7.86,4.92
"Very Good",59.6,58,2395,5.28,5.32,3.16
"Very Good",62.1,55.6,2336,5.29,5.31,3.29
"Premium",60.2,62,725,4.31,4.3,2.59
"Ideal",59.8,57,1154,5.22,5.25,3.13
"Good",63.2,60,2729,6.09,6.12,3.86
"Good",59.3,65,1259,5.1,5.12,3.03
"Ideal",62,57,3528,6.54,6.5,4.04
"Very Good",62.2,58,4332,6.33,6.38,3.95
"Very Good",62.2,61,7682,6.38,6.41,3.98
"Fair",65.8,58,2854,6.04,6.01,3.96
"Premium",61.8,59,10897,7.4,7.35,4.56
"Very Good",63.5,57,7006,8.24,8.2,5.22
"Premium",60.7,58,2770,5.87,5.82,3.55
"Premium",60.8,57,4278,6.98,6.94,4.23
"Ideal",61.7,54.6,670,4.65,4.69,2.89
"Very Good",61.7,56,1778,5.14,5.17,3.18
"Premium",61.7,59,758,4.38,4.43,2.72
"Premium",62.6,55,3818,6.43,6.38,4.01
"Premium",59.6,61,4672,6.52,6.47,3.87
"Very Good",61.2,57,5665,6.86,6.92,4.22
"Ideal",61.1,56,5418,6.5,6.53,3.98
"Very Good",61.8,57,9474,7.36,7.43,4.57
"Premium",61.6,55,988,4.42,4.38,2.71
"Good",63.2,56,687,4.65,4.69,2.95
"Ideal",61.5,60,2432,5.7,5.74,3.52
"Ideal",62.3,55,589,4.47,4.42,2.77
"Ideal",62.9,56,969,4.73,4.71,2.97
"Very Good",60.5,58,720,4.76,4.82,2.9
"Ideal",60.6,58,670,4.31,4.33,2.62
"Ideal",60.4,59,779,4.35,4.43,2.65
"Very Good",62.9,56,5902,6.38,6.41,4.02
"Good",63.9,57,765,4.7,4.66,2.99
"Good",63.8,60,3520,6,6.16,3.88
"Good",63.7,57,529,4.63,4.57,2.93
"Very Good",63.3,56,3563,5.84,5.89,3.71
"Very Good",62.9,59,5233,6.66,6.76,4.22
"Fair",64.7,61,4873,6.42,6.39,4.14
"Very Good",62.9,59,1367,4.72,4.76,2.98
"Premium",62.2,58,666,4.71,4.75,2.94
"Very Good",63.5,55,1842,5.09,5.05,3.22
"Premium",61.1,58,9424,7.41,7.45,4.54
"Very Good",58.3,61,4543,6.54,6.59,3.83
"Very Good",63.4,57,506,4.26,4.23,2.69
"Ideal",62.4,56,769,4.11,4.1,2.56
"Ideal",62,57,5235,6.38,6.45,3.98
"Good",61.3,61,13603,7.32,7.39,4.51
"Premium",60.7,59,435,4.11,4.13,2.5
"Premium",59.2,59,3701,6.57,6.54,3.88
"Ideal",62.2,54.1,1402,4.64,4.67,2.89
"Ideal",61,57,8719,6.91,6.95,4.23
"Ideal",62.4,55,928,4.42,4.4,2.75
"Fair",65.1,56,3437,6.08,6.05,3.95
"Premium",60.2,60,504,4.24,4.26,2.56
"Premium",62.8,60,1676,5.08,5.02,3.17
"Very Good",61.5,59,1209,4.34,4.37,2.68
"Good",60.1,60.1,754,4.79,4.82,2.89
"Ideal",62.2,57,5501,6.66,6.62,4.12
"Very Good",63.3,56,957,4.63,4.56,2.91
"Ideal",61.6,57,6159,6.41,6.44,3.96
"Ideal",62.1,54,936,4.42,4.4,2.74
"Premium",58.4,59,6157,7.4,7.27,4.28
"Ideal",61.7,57,3570,6.02,6.07,3.73
"Premium",61.1,59,1050,4.75,4.71,2.89
"Good",63.7,56,3950,5.81,5.77,3.69
"Very Good",63.9,56,1578,5.2,5.26,3.34
"Very Good",62.3,54,1108,4.57,4.65,2.87
"Very Good",63.3,55,4516,6.39,6.34,4.03
"Ideal",61.7,55.1,6249,6.56,6.58,4.06
"Ideal",62.3,55,1031,4.77,4.79,2.98
"Good",63.8,55,2496,5.66,5.59,3.59
"Premium",62.1,59,13074,7.37,7.26,4.54
"Ideal",62.4,57,1781,5.13,5.1,3.19
"Ideal",61.6,56,9243,7.03,6.96,4.31
"Ideal",60.8,55,4197,6.52,6.48,3.95
"Premium",61,60,4240,6.57,6.52,3.99
"Ideal",62.8,56,15497,6.75,6.84,4.27
"Very Good",60.5,61,357,3.96,3.97,2.4
"Premium",61.3,56,1240,5.13,5.08,3.13
"Ideal",61.7,55,3344,5.72,5.79,3.55
"Ideal",62.6,54,1984,5.34,5.3,3.33
"Very Good",59.2,61,3160,6.23,6.27,3.7
"Good",65.2,56,1613,4.86,4.89,3.18
"Ideal",60.2,56,2553,5.46,5.51,3.3
"Ideal",62.5,56,1608,5.24,5.28,3.29
"Premium",61.4,59,1845,5.15,5.11,3.15
"Ideal",62.3,57,2626,5.93,5.98,3.71
"Good",63.5,57,489,4.32,4.34,2.75
"Good",63.4,57,2674,5.75,5.77,3.65
"Very Good",63.9,57,1550,5.08,5.12,3.26
"Ideal",61.4,55,2489,5.7,5.76,3.52
"Good",65.5,56,1136,4.9,4.99,3.24
"Ideal",61.6,56,1235,4.85,4.92,3.01
"Ideal",62,56,1240,4.73,4.78,2.95
"Very Good",62.2,58,552,4.28,4.31,2.67
"Good",61.7,62,3690,6.37,6.4,3.94
"Good",60.2,61,1785,5.47,5.52,3.3
"Ideal",61.8,56,5412,6.77,6.8,4.19
"Ideal",62.1,58,3283,5.72,5.75,3.56
"Fair",67,57,14194,8.36,8.29,5.58
"Ideal",61.6,55,1090,5.16,5.19,3.19
"Very Good",58.2,63,1790,5.82,5.79,3.38
"Very Good",63.5,55,3082,6.22,6.12,3.92
"Very Good",61.6,58,2318,5.57,5.62,3.42
"Premium",62.2,58,666,4.43,4.44,2.76
"Ideal",62.1,56,439,4.31,4.32,2.68
"Premium",60.3,59,2822,5.84,5.8,3.51
"Premium",59.6,62,3951,6.95,6.9,4.13
"Ideal",61.6,57,1094,4.58,4.54,2.81
"Premium",59.3,58,16278,8.83,8.87,5.25
"Ideal",62,56,3948,5.86,5.88,3.64
"Ideal",61.1,56,975,4.77,4.75,2.91
"Ideal",62.6,54,1721,5.16,5.19,3.24
"Ideal",61.8,56,8863,6.82,6.86,4.23
"Very Good",60.6,58,3494,5.76,5.79,3.5
"Very Good",62.9,59,4544,6.53,6.57,4.12
"Ideal",62.5,54,17245,8.07,8.1,5.05
"Premium",61.8,59,4322,6.59,6.53,4.06
"Ideal",61.8,57,1308,4.79,4.85,2.98
"Ideal",61.3,55,2401,5.75,5.84,3.55
"Very Good",61.5,59,485,3.99,4.01,2.46
"Ideal",61.6,56,544,4.34,4.36,2.68
"Very Good",63.1,58,3881,6.18,6.12,3.88
"Premium",60.5,60,7665,6.58,6.51,3.96
"Very Good",60.3,59,17315,8.18,8.2,4.94
"Ideal",60.3,55,667,4.5,4.52,2.72
"Ideal",61.7,55,1088,4.74,4.76,2.93
"Good",63.9,58,4218,6.26,6.32,4.02
"Premium",62.5,58,4899,6.39,6.42,4
"Ideal",61.6,57,1897,5.16,5.2,3.19
"Ideal",61.1,56,758,4.39,4.41,2.69
"Very Good",62.2,57,6865,6.44,6.56,4.04
"Fair",64.7,56,12581,7.28,7.22,4.69
"Ideal",60.5,56,5493,6.57,6.53,3.96
"Premium",62.3,58,1953,5.08,5.1,3.17
"Ideal",62.7,57,863,4.73,4.78,2.98
"Ideal",61.1,57,1817,5.73,5.76,3.51
"Ideal",62.3,57,877,4.71,4.73,2.94
"Ideal",61.8,54,928,4.6,4.62,2.85
"Premium",61.4,58,882,4.81,4.77,2.94
"Ideal",61.5,56,8830,6.92,6.97,4.27
"Ideal",61.5,56,17231,8.76,8.69,5.37
"Ideal",61.3,55,17825,7.6,7.63,4.67
"Very Good",61.8,56,6534,6.75,6.82,4.19
"Very Good",62.4,57,743,4.26,4.27,2.66
"Premium",60.9,60,2216,5.76,5.8,3.52
"Premium",61.1,59,8652,7.45,7.4,4.54
"Premium",58.1,60,9831,7.59,7.53,4.39
"Very Good",61.2,58,1707,5.21,5.28,3.21
"Good",63.4,56,3534,6.36,6.42,4.05
"Very Good",61.3,56,6751,6.54,6.59,4.03
"Ideal",61.4,54,1694,5.23,5.2,3.2
"Fair",60.9,66,3288,6.1,6.12,3.72
"Premium",62.7,56,3078,6.01,5.98,3.76
"Ideal",60.6,56,2973,5.9,5.95,3.59
"Very Good",61.1,58,8893,7.36,7.47,4.53
"Premium",61.1,58,9557,7.44,7.38,4.53
"Ideal",60.6,57,878,4.35,4.33,2.63
"Good",63.6,57,3620,6.3,6.21,3.98
"Premium",61.1,60,4916,6.8,6.76,4.14
"Ideal",63.8,56,619,4.28,4.2,2.71
"Premium",61.6,59,3712,6.34,6.41,3.93
"Ideal",62.4,55,1787,5.11,5.14,3.2
"Very Good",60.7,61,8928,6.97,7.01,4.24
"Premium",60.3,57,12388,8.25,8.06,4.92
"Premium",59.1,58,844,4.39,4.37,2.59
"Very Good",62.8,57,1402,5.05,5.08,3.18
"Premium",59.8,60,10623,7.5,7.42,4.46
"Very Good",63.4,59,725,4.25,4.23,2.69
"Ideal",62.6,57,745,4.45,4.47,2.79
"Fair",55.9,63,5171,6.9,6.8,3.83
"Premium",61.6,58,612,4.4,4.36,2.7
"Ideal",62.1,55,685,4.64,4.67,2.89
"Very Good",63.2,58,4504,6.11,6.16,3.88
"Very Good",58.7,62,14795,8.23,8.2,4.82
"Very Good",62.5,58,1298,5.74,5.82,3.61
"Very Good",61.8,63,9467,7.28,7.34,4.52
"Ideal",61.1,55,776,4.36,4.32,2.65
"Premium",62.6,59,720,4.36,4.33,2.72
"Premium",61.2,59,4191,6.45,6.4,3.93
"Ideal",62.1,53.9,1092,4.65,4.67,2.9
"Premium",60.6,59,2898,6.68,6.61,4.03
"Good",58.5,57,5809,7.03,7.1,4.13
"Very Good",62,58,5086,6.18,6.21,3.84
"Ideal",60.5,56,3384,5.77,5.79,3.5
"Very Good",59.8,60,1906,5.4,5.34,3.21
"Ideal",61.1,57,1066,4.88,4.91,2.99
"Premium",59.9,60,1335,5.24,5.28,3.15
"Good",63.1,55,13849,7.99,8.09,5.07
"Ideal",62.4,54,1318,4.84,4.87,3.03
"Very Good",62.4,58,3045,5.83,5.86,3.65
"Very Good",59.3,59,1408,5.46,5.51,3.25
"Good",63.8,54,1250,5.18,5.17,3.3
"Very Good",61.8,57,1676,5.23,5.28,3.25
"Ideal",60.6,56,1575,5.18,5.22,3.15
"Ideal",62.2,55,1865,5.09,5.14,3.18
"Premium",58.4,57,2867,6.49,6.41,3.77
"Premium",61.7,58,2527,5.74,5.7,3.53
"Good",63.3,59,4899,6.38,6.42,4.05
"Premium",62.2,54,1323,4.77,4.75,2.96
"Very Good",62.8,58,3734,6.13,6.16,3.86
"Very Good",63,55,4449,6.08,6.15,3.85
"Premium",60.7,60,5156,7.19,7.07,4.33
"Premium",62.3,60,8997,7.35,7.29,4.56
"Ideal",62.8,57,1331,5.05,5.08,3.18
"Premium",60.5,58,954,4.42,4.47,2.69
"Premium",62.6,58,844,4.28,4.25,2.67
"Ideal",62.5,56,1147,5.2,5.23,3.26
"Premium",60.7,58,3877,6.49,6.52,3.95
"Ideal",62.5,56,4649,6.38,6.41,4
"Very Good",62.8,61,1244,5.11,5.14,3.22
"Premium",61.3,60,872,4.39,4.32,2.67
"Very Good",63.2,56,854,4.41,4.39,2.78
"Ideal",61.2,56,891,4.36,4.4,2.68
"Good",63.7,60,5174,6.29,6.24,3.99
"Premium",60.4,59,1114,4.47,4.44,2.69
"Good",58,57.8,2958,5.85,5.87,3.4
"Ideal",61.7,55,11580,7.01,6.98,4.32
"Ideal",61.9,55,12314,6.72,6.76,4.17
"Ideal",60.9,55,788,4.57,4.53,2.77
"Ideal",60.7,56,901,4.42,4.45,2.69
"Ideal",61.2,57,7480,7.06,7.12,4.34
"Good",63.6,55,776,4.29,4.26,2.72
"Premium",62.8,58,861,4.74,4.72,2.97
"Ideal",62.4,54,5147,6.52,6.38,4.03
"Good",60,61,1680,5.36,5.43,3.24
"Good",63.7,59,7208,7.15,7.26,4.59
"Premium",63,58,1415,5.08,5.04,3.19
"Very Good",61.7,55,916,4.78,4.81,2.96
"Premium",58.5,60,1178,5.21,5.19,3.04
"Fair",59.6,66,2395,5.8,5.74,3.44
"Ideal",62.4,55,613,4.75,4.77,2.97
"Premium",59.4,59,4072,6.56,6.53,3.89
"Ideal",61.5,57,840,4.35,4.37,2.68
"Premium",61.6,57,9952,7.4,7.33,4.54
"Premium",60.1,60,5581,6.55,6.52,3.93
"Premium",59.9,60,7074,6.85,6.88,4.11
"Ideal",62.4,56,8828,7.84,7.8,4.89
"Premium",62.4,59,802,4.34,4.32,2.7
"Ideal",62.4,57,602,4.37,4.44,2.75
"Good",61.7,60.2,4761,6.29,6.35,3.9
"Premium",60.2,61,2999,5.74,5.66,3.43
"Good",63.1,56,432,4.36,4.39,2.76
"Ideal",60.7,57,1002,4.5,4.46,2.72
"Premium",62.7,58,1007,4.74,4.77,2.98
"Ideal",61.1,57,9408,7.07,7.13,4.34
"Premium",60.6,58,1115,4.79,4.84,2.92
"Very Good",62.8,55,1007,4.7,4.73,2.96
"Very Good",63.2,55,558,4.4,4.3,2.75
"Premium",62.5,61,3459,6.15,6.08,3.82
"Premium",59.5,58,767,4.59,4.62,2.74
"Good",63.6,61,2142,5.63,5.59,3.57
"Ideal",60.8,56,907,4.4,4.38,2.67
